"order_number","order_date","delivery_date","quantity","customer_country","customer_state","product_category"
366001,"2016-01-01","2016-01-13",2,"United States","California","Cameras and camcorders"
366001,"2016-01-01","2016-01-13",1,"United States","California","Home Appliances"
366002,"2016-01-01","2016-01-12",7,"Canada","Alberta","Cameras and camcorders"
366002,"2016-01-01","2016-01-12",1,"Canada","Alberta","Computers"
366002,"2016-01-01","2016-01-12",4,"Canada","Alberta","Cameras and camcorders"
366010,"2016-01-01","2016-01-08",5,"Canada","Quebec","Computers"
366014,"2016-01-01","2016-01-06",1,"Italy","Biella","TV and Video"
366014,"2016-01-01","2016-01-06",2,"Italy","Biella","Games and Toys"
367005,"2016-01-02","2016-01-10",1,"Italy","Genova","Games and Toys"
367005,"2016-01-02","2016-01-10",2,"Italy","Genova","TV and Video"
367005,"2016-01-02","2016-01-10",8,"Italy","Genova","Games and Toys"
367005,"2016-01-02","2016-01-10",9,"Italy","Genova","Cell phones"
367005,"2016-01-02","2016-01-10",2,"Italy","Genova","Games and Toys"
367005,"2016-01-02","2016-01-10",7,"Italy","Genova","Music, Movies and Audio Books"
367005,"2016-01-02","2016-01-10",1,"Italy","Genova","Computers"
367028,"2016-01-02","2016-01-11",1,"France","Auvergne","Cameras and camcorders"
367028,"2016-01-02","2016-01-11",3,"France","Auvergne","Home Appliances"
367031,"2016-01-02","2016-01-07",3,"United Kingdom","Hereford","TV and Video"
367031,"2016-01-02","2016-01-07",2,"United Kingdom","Hereford","Computers"
367031,"2016-01-02","2016-01-07",3,"United Kingdom","Hereford","Games and Toys"
367031,"2016-01-02","2016-01-07",1,"United Kingdom","Hereford","TV and Video"
369011,"2016-01-04","2016-01-09",2,"United States","Wisconsin","Cameras and camcorders"
369012,"2016-01-04","2016-01-13",3,"United States","Ohio","Cell phones"
369012,"2016-01-04","2016-01-13",1,"United States","Ohio","Music, Movies and Audio Books"
369012,"2016-01-04","2016-01-13",2,"United States","Ohio","Music, Movies and Audio Books"
369012,"2016-01-04","2016-01-13",6,"United States","Ohio","Music, Movies and Audio Books"
371004,"2016-01-06","2016-01-14",8,"United States","Mississippi","Cameras and camcorders"
371006,"2016-01-06","2016-01-15",1,"United States","Texas","Cameras and camcorders"
371007,"2016-01-06","2016-01-18",1,"United States","Mississippi","Music, Movies and Audio Books"
371011,"2016-01-06","2016-01-14",5,"Italy","Livorno","Computers"
371011,"2016-01-06","2016-01-14",3,"Italy","Livorno","Music, Movies and Audio Books"
371011,"2016-01-06","2016-01-14",5,"Italy","Livorno","Audio"
371015,"2016-01-06","2016-01-14",5,"United States","Florida","Games and Toys"
371015,"2016-01-06","2016-01-14",1,"United States","Florida","Music, Movies and Audio Books"
371015,"2016-01-06","2016-01-14",1,"United States","Florida","Cameras and camcorders"
371015,"2016-01-06","2016-01-14",4,"United States","Florida","Cell phones"
372000,"2016-01-07","2016-01-22",3,"United States","Oregon","TV and Video"
372000,"2016-01-07","2016-01-22",1,"United States","Oregon","Music, Movies and Audio Books"
372000,"2016-01-07","2016-01-22",3,"United States","Oregon","Computers"
372006,"2016-01-07","2016-01-15",2,"United States","Idaho","TV and Video"
373000,"2016-01-08","2016-01-14",3,"United States","California","Cell phones"
373000,"2016-01-08","2016-01-14",3,"United States","California","Computers"
373007,"2016-01-08","2016-01-14",2,"Canada","Ontario","Audio"
373007,"2016-01-08","2016-01-14",5,"Canada","Ontario","Cell phones"
373007,"2016-01-08","2016-01-14",2,"Canada","Ontario","Home Appliances"
